test,UniqueID,Gene.Name,logFC,P.Value,Adj.P.Value
DEG.wk52,ENSG00000231841,FAM192BP,0.07259134,0.401828115,0.598033079
DEG.wk52,ENSG00000231856,AL162377.1,-0.091448605,0.071834191,0.197794865
DEG.wk52,ENSG00000231875,AL359885.1,0.025182484,0.75749267,0.860879991
DEG.wk52,ENSG00000231887,PRH1,0.04740107,0.419778711,0.613384715
DEG.wk52,ENSG00000231889,TRAF3IP2-AS1,-0.016184254,0.733785219,0.846466823
DEG.wk52,ENSG00000231890,DARS-AS1,-0.106170132,0.026003161,0.096773901
DEG.wk52,ENSG00000231925,TAPBP,-0.080369674,0.305727226,0.505057586
DEG.wk52,ENSG00000231940,RPS7P3,0.176017083,0.072421188,0.198670444
DEG.wk52,ENSG00000231969,MMADHC-DT,-0.154216721,0.117284155,0.273245571
DEG.wk52,ENSG00000231981,RPL7L1P12,0.168336892,0.048085742,0.149882258
DEG.wk52,ENSG00000231999,LRRC8C-DT,0.022549451,0.566589378,0.732764663
DEG.wk52,ENSG00000232021,LEF1-AS1,0.080496394,0.138479738,0.304800093
DEG.wk52,ENSG00000232022,FAAHP1,-0.020347081,0.831612259,0.906399333
DEG.wk52,ENSG00000232024,LSM12P1,-0.117614186,0.591604228,0.75038691
DEG.wk52,ENSG00000232036,AL078645.2,0.124289847,0.163170639,0.338077622
DEG.wk52,ENSG00000232053,AC078845.1,0.216241829,0.0013109,0.009888511
DEG.wk52,ENSG00000232063,AL691447.2,-0.24604513,9.55e-08,2.71e-06
DEG.wk52,ENSG00000232097,AC079781.3,-0.052399695,0.649622948,0.790232843
DEG.wk52,ENSG00000232098,AC012313.1,0.001078187,0.97811719,0.988642659
DEG.wk52,ENSG00000232104,RFX3-AS1,-0.123304772,0.023883896,0.090968556
DEG.wk52,ENSG00000232112,TMA7,0.130640957,0.174396927,0.352549138
DEG.wk52,ENSG00000232117,LINC00384,0.190208867,0.090972664,0.230119677
DEG.wk52,ENSG00000232119,MCTS1,0.037949685,0.26119107,0.456317446
DEG.wk52,ENSG00000232160,RAP2C-AS1,-0.202939258,1.41e-05,0.000223242
DEG.wk52,ENSG00000232164,LINC01873,0.004396645,0.931563642,0.965397027
DEG.wk52,ENSG00000232208,AL139415.1,0.157275201,0.148310516,0.317715564
DEG.wk52,ENSG00000232216,IGHV3-43,-0.326242211,0.157948503,0.330813655
DEG.wk52,ENSG00000232228,AC092431.2,-0.085865705,0.402664182,0.598473071
DEG.wk52,ENSG00000232229,LINC00865,0.135608767,0.014850272,0.064110572
DEG.wk52,ENSG00000232254,CSF2RBP1,0.103101783,0.444495713,0.636062062
DEG.wk52,ENSG00000232282,MTND1P32,-0.006982121,0.954642428,0.97735146
DEG.wk52,ENSG00000232300,FAM215B,-0.079776796,0.661477473,0.798647987
DEG.wk52,ENSG00000232303,DFFBP1,0.069447032,0.195847172,0.380028674
DEG.wk52,ENSG00000232311,AL512303.1,0.053440349,0.613162385,0.765882343
DEG.wk52,ENSG00000232334,AL683842.1,-0.203534121,0.007365988,0.038286832
DEG.wk52,ENSG00000232354,VIPR1-AS1,-0.316717314,0.004630149,0.026658302
DEG.wk52,ENSG00000232373,MTCYBP3,-0.087801627,0.390201847,0.586727574
DEG.wk52,ENSG00000232381,OR52U1P,-0.62949824,2.72e-17,2.54e-15
DEG.wk52,ENSG00000232388,SMIM26,0.053284931,0.267101168,0.463132323
DEG.wk52,ENSG00000232434,AJM1,0.014752139,0.879978411,0.935087633
DEG.wk52,ENSG00000232437,RPS26P42,-0.122704832,0.293606337,0.492060385
DEG.wk52,ENSG00000232442,MHENCR,0.119404929,0.025777215,0.096260791
DEG.wk52,ENSG00000232450,AL133517.1,-0.247107872,0.000597879,0.005251078
DEG.wk52,ENSG00000232454,AL138752.1,-0.1828831,0.063590283,0.182308914
DEG.wk52,ENSG00000232466,H3P31,0.15118441,0.121245256,0.279035031
DEG.wk52,ENSG00000232479,KRT8P52,-0.098967966,0.078555859,0.209101457
DEG.wk52,ENSG00000232485,AC098820.2,-0.099925129,0.166853742,0.342359626
DEG.wk52,ENSG00000232486,AL592437.2,0.189806687,0.140708464,0.307860221
DEG.wk52,ENSG00000232487,RASA3-IT1,-0.134557746,0.248563834,0.441585264
DEG.wk52,ENSG00000232504,ST3GAL5-AS1,-0.259332647,0.00020653,0.002187094
DEG.wk52,ENSG00000232528,AL109809.1,-0.056455602,0.448723337,0.63948134
DEG.wk52,ENSG00000232533,AC093673.1,0.017569313,0.719094081,0.83678511
DEG.wk52,ENSG00000232542,DPYD-IT1,-0.125389418,0.129543855,0.291442088
DEG.wk52,ENSG00000232545,AC253536.3,-0.143333703,0.114963296,0.26933281
DEG.wk52,ENSG00000232568,RPL23AP35,-0.153903622,0.202112435,0.387183506
DEG.wk52,ENSG00000232586,KIAA1614-AS1,-0.214584023,0.000472854,0.004335851
DEG.wk52,ENSG00000232587,EEF1A1P3,0.007107814,0.888685424,0.939938778
DEG.wk52,ENSG00000232593,KANTR,0.088080314,0.018343542,0.074876889
DEG.wk52,ENSG00000232599,AL008707.1,-0.160023082,0.205017859,0.390776204
DEG.wk52,ENSG00000232611,AL683813.2,-0.090379287,0.171527782,0.348694253
DEG.wk52,ENSG00000232618,AL355304.1,0.050021701,0.299129755,0.497701363
DEG.wk52,ENSG00000232626,AC099336.1,0.025131928,0.678855887,0.810700801
DEG.wk52,ENSG00000232648,AC107214.1,0.143293987,0.031263569,0.110854132
DEG.wk52,ENSG00000232653,GOLGA8N,0.094341042,0.030513219,0.108918246
DEG.wk52,ENSG00000232656,IDI2-AS1,-0.012804473,0.894168912,0.943750464
DEG.wk52,ENSG00000232671,ZNF687-AS1,0.000464538,0.996026751,0.998230471
DEG.wk52,ENSG00000232677,LINC00665,0.044716121,0.367126291,0.565226531
DEG.wk52,ENSG00000232680,AC002511.1,-0.405767729,6.56e-06,0.000114659
DEG.wk52,ENSG00000232713,RPS12P3,0.048044703,0.616987395,0.768925088
DEG.wk52,ENSG00000232721,AC239800.2,0.058191571,0.169312739,0.345742986
DEG.wk52,ENSG00000232748,AC135050.1,-0.238404001,0.04072891,0.133181112
DEG.wk52,ENSG00000232774,AL355916.1,-0.113310459,0.130525019,0.292768361
DEG.wk52,ENSG00000232788,ITGA6-AS1,-0.012925522,0.849485222,0.916998674
DEG.wk52,ENSG00000232807,AL137186.2,-0.397697551,4.45e-08,1.34e-06
DEG.wk52,ENSG00000232811,AL360270.1,-0.108884454,0.25300059,0.447027123
DEG.wk52,ENSG00000232815,DUX4L50,-0.265646768,0.000358463,0.00346215
DEG.wk52,ENSG00000232818,RPS2P32,0.076096543,0.482923353,0.667843705
DEG.wk52,ENSG00000232838,PET117,0.087376597,0.11784772,0.273964953
DEG.wk52,ENSG00000232846,SLC25A6P3,-0.151738453,0.155563319,0.327979029
DEG.wk52,ENSG00000232850,AL590708.1,0.005917119,0.925518927,0.96210427
DEG.wk52,ENSG00000232855,AF165147.1,-0.186798471,0.000479574,0.004384155
DEG.wk52,ENSG00000232859,LYRM9,-0.043755726,0.158933274,0.332290866
DEG.wk52,ENSG00000232860,SMG7-AS1,0.106701111,0.219085841,0.408164065
DEG.wk52,ENSG00000232882,PHKA1P1,0.035720266,0.683111856,0.813814433
DEG.wk52,ENSG00000232884,AF127936.1,-0.618940116,1.32e-08,4.45e-07
DEG.wk52,ENSG00000232907,DLGAP4-AS1,0.028067735,0.734464897,0.846818106
DEG.wk52,ENSG00000232912,RERE-AS1,-0.327215032,2.34e-07,6.03e-06
DEG.wk52,ENSG00000232915,RNF14P1,-0.10965225,0.170645122,0.347520669
DEG.wk52,ENSG00000232931,LINC00342,0.023050933,0.626274504,0.775736105
DEG.wk52,ENSG00000232934,AL157786.1,0.019035628,0.846965958,0.915642971
DEG.wk52,ENSG00000232940,HCG25,0.027714263,0.629954357,0.778219336
DEG.wk52,ENSG00000232953,HSPA8P18,0.171984566,0.106122125,0.254899734
DEG.wk52,ENSG00000232956,SNHG15,0.021473319,0.52771532,0.702805871
DEG.wk52,ENSG00000232973,CYP1B1-AS1,-0.055528399,0.398739455,0.595509523
DEG.wk52,ENSG00000232995,AL592435.1,0.038130326,0.475622922,0.661534638
DEG.wk52,ENSG00000233006,MIR3936HG,-0.00082144,0.985944262,0.992708059
DEG.wk52,ENSG00000233008,LINC01725,0.079877126,0.191677241,0.374245682
DEG.wk52,ENSG00000233010,RPEP4,-0.088155943,0.35672472,0.556430371
DEG.wk52,ENSG00000233013,FAM157B,-0.08741505,0.27429702,0.470776518
DEG.wk52,ENSG00000233016,SNHG7,-0.010428745,0.761291519,0.862816103
DEG.wk52,ENSG00000233024,NPIPA9,-0.031646786,0.823172658,0.900722591
DEG.wk52,ENSG00000233029,AC244453.2,-0.090539795,0.607281656,0.761581972
DEG.wk52,ENSG00000233030,AC243772.2,-1.063298121,6.83e-34,2.06e-31
DEG.wk52,ENSG00000233038,AC011899.2,-0.034378885,0.574223344,0.737850335
DEG.wk52,ENSG00000233040,FAM204BP,-0.069975002,0.411411574,0.605553721
DEG.wk52,ENSG00000233057,EEF1A1P14,-0.077766224,0.519535065,0.69628077
DEG.wk52,ENSG00000233058,LINC00884,0.082142177,0.137368238,0.303019673
DEG.wk52,ENSG00000233072,RPS15AP6,-0.250057023,0.018352194,0.074876889
DEG.wk52,ENSG00000233084,RPL23AP25,0.217803168,0.269356783,0.465652671
DEG.wk52,ENSG00000233093,LINC00892,0.376406713,4.32e-08,1.3e-06
DEG.wk52,ENSG00000233098,CCDC144NL-AS1,-0.064200991,0.578930855,0.740637447
